Time ,Dis,flow,speed
266,1.79,237,70.575
267,1.79,155,70.4
268,1.79,170,72.175
269,1.79,184,71.275
270,1.79,225,71.475
271,1.79,137,70.675
272,1.79,147,71.575
273,1.79,204,72.175
274,1.79,185,69.975
275,1.79,159,71.65
276,1.79,133,70.975
277,1.79,115,72
278,1.79,122,71.85
279,1.79,85,71.725
280,1.79,111,72.25
281,1.79,111,72.575
282,1.79,133,71.8
283,1.79,101,71.4
284,1.79,85,73.125
285,1.79,108,71.175
286,1.79,88,70.875
287,1.79,95,70.95
