Time ,Dis,speed,flow
215,1.35,64.5,415
216,1.35,63.9,440
217,1.35,69,461
218,1.35,67.4,419
219,1.35,68.8,365
220,1.35,69.7,462
221,1.35,72.4,427
222,1.35,70.5,429
223,1.35,71.4,392
224,1.35,71.7,433
225,1.35,71.7,382
226,1.35,71.4,385
227,1.35,72,305
228,1.35,71.4,318
229,1.35,72.1,315
230,1.35,71.9,322
231,1.35,72.2,322
232,1.35,72.2,319
233,1.35,72.2,292
234,1.35,71.3,251
235,1.35,73.1,267
236,1.35,72.4,261
237,1.35,72.4,214
238,1.35,72.9,251
239,1.35,72.8,218
240,1.35,73,223
241,1.35,73.9,238
242,1.35,72.5,244
243,1.35,72.5,223
244,1.35,71.9,235
245,1.35,73.3,228
246,1.35,73,208
247,1.35,72.4,208
248,1.35,72.3,211
249,1.35,72.5,196
250,1.35,74,218
251,1.35,73.5,207
252,1.35,74.1,187
253,1.35,72.9,199
254,1.35,72.8,192
255,1.35,73.5,181
256,1.35,71.9,236
257,1.35,72,231
258,1.35,73.2,197
259,1.35,72.9,164
260,1.35,73.6,169
261,1.35,74.3,145
262,1.35,73.2,162
263,1.35,73.7,160
264,1.35,73.5,166
265,1.35,73.6,151
266,1.35,72.5,175
267,1.35,72.7,166
268,1.35,72,167
269,1.35,73,146
270,1.35,72.5,135
271,1.35,72.6,117
272,1.35,73.3,129
273,1.35,73.7,115
274,1.35,72.6,103
275,1.35,72.3,97
276,1.35,74.1,90
277,1.35,72.6,84
278,1.35,72.8,97
279,1.35,72.4,92
280,1.35,72.9,80
281,1.35,73.3,62
282,1.35,71.4,79
283,1.35,72.1,73
284,1.35,71.7,77
285,1.35,70.6,65
286,1.35,71.2,52
287,1.35,72.2,53
