Time ,Dis,speed,flow
0,1.35,72.1,49
1,1.35,70.9,49
2,1.35,71.6,56
3,1.35,73.3,50
4,1.35,74.9,33
5,1.35,70.8,40
6,1.35,72.2,43
7,1.35,72.2,42
8,1.35,71.7,37
9,1.35,71.3,41
10,1.35,73.1,36
11,1.35,72.5,25
12,1.35,71.5,29
13,1.35,73.9,37
14,1.35,73.9,30
15,1.35,73.4,12
16,1.35,72.3,21
17,1.35,70.8,26
18,1.35,68.4,24
19,1.35,70.5,30
20,1.35,68.5,23
21,1.35,69.6,26
22,1.35,68.8,27
23,1.35,63.8,22
24,1.35,66.3,24
25,1.35,65.2,26
26,1.35,65.6,21
27,1.35,62.1,12
28,1.35,60.6,30
29,1.35,63.7,29
30,1.35,60.8,15
31,1.35,62.2,21
32,1.35,64.5,23
33,1.35,66.2,22
34,1.35,62.6,22
35,1.35,61.9,23
36,1.35,66.1,23
37,1.35,65,23
38,1.35,64,25
39,1.35,61.2,23
40,1.35,65.3,21
41,1.35,66.4,33
42,1.35,65.3,41
43,1.35,68,38
44,1.35,64.3,35
45,1.35,65.4,37
46,1.35,66.3,33
47,1.35,66.9,55
48,1.35,65.5,55
49,1.35,65.5,65
50,1.35,66.7,47
51,1.35,67.6,51
52,1.35,65.9,85
53,1.35,68.4,72
54,1.35,67,101
55,1.35,67.1,78
56,1.35,67.9,123
57,1.35,66.5,125
58,1.35,69.5,86
59,1.35,69,113
60,1.35,69.5,109
61,1.35,69.5,131
62,1.35,69.3,124
63,1.35,70.7,133
64,1.35,69.5,182
65,1.35,69.8,211
66,1.35,67.5,209
67,1.35,68.6,260
68,1.35,68.1,320
69,1.35,68.8,326
70,1.35,67.8,347
71,1.35,69.6,305
72,1.35,68.1,353
73,1.35,69.6,305
74,1.35,68.8,342
75,1.35,65.6,393
76,1.35,67.9,392
77,1.35,68.5,363
78,1.35,63.3,493
79,1.35,59.9,528
80,1.35,60.6,553
81,1.35,58.8,590
82,1.35,46.2,558
83,1.35,49.8,565
84,1.35,62.5,531
85,1.35,65.5,446
86,1.35,60.7,515
87,1.35,63.1,559
88,1.35,62.1,533
89,1.35,60.1,572
90,1.35,57.5,593
91,1.35,61.8,632
92,1.35,63.7,600
93,1.35,63.5,612
94,1.35,64.5,615
95,1.35,63.7,565
96,1.35,64.6,562
97,1.35,65.2,606
98,1.35,66.7,602
99,1.35,66.3,587
100,1.35,66.5,597
101,1.35,62,602
102,1.35,65.8,604
103,1.35,60.9,668
104,1.35,52.9,626
105,1.35,64.4,586
106,1.35,65.8,621
107,1.35,68.7,529
108,1.35,67.5,554
109,1.35,67.8,536
110,1.35,68.3,556
111,1.35,69.6,530
112,1.35,70.6,476
113,1.35,69.8,469
114,1.35,71.3,463
115,1.35,71.1,475
116,1.35,70.9,482
117,1.35,70.2,505
118,1.35,72.9,440
119,1.35,72.1,476
120,1.35,72.2,416
121,1.35,72.6,375
122,1.35,72.1,394
123,1.35,73,419
124,1.35,74.1,390
125,1.35,72,394
126,1.35,72.4,417
127,1.35,73.9,389
128,1.35,72.3,389
129,1.35,73.2,395
130,1.35,72.1,405
131,1.35,71.7,355
132,1.35,69.7,379
133,1.35,69.8,389
134,1.35,72.4,352
135,1.35,71.9,388
136,1.35,72.5,330
137,1.35,71.4,335
138,1.35,71.5,312
139,1.35,67.6,392
140,1.35,68.2,427
141,1.35,67.7,434
142,1.35,57.2,483
143,1.35,50.9,500
144,1.35,65.2,419
145,1.35,66.6,401
146,1.35,65.4,378
147,1.35,67.4,418
148,1.35,66.8,406
149,1.35,65.1,373
150,1.35,63.4,396
151,1.35,64.5,395
152,1.35,65.5,428
153,1.35,64.5,393
154,1.35,66.5,423
155,1.35,68.6,381
156,1.35,69.5,366
157,1.35,67.5,391
158,1.35,68.6,420
159,1.35,68.1,402
160,1.35,66.7,431
161,1.35,67.7,409
162,1.35,67.6,416
163,1.35,69.8,384
164,1.35,68.8,399
165,1.35,67.4,393
166,1.35,67.3,422
167,1.35,68.3,425
168,1.35,67.6,369
169,1.35,65.7,418
170,1.35,64.4,431
171,1.35,66.3,370
172,1.35,65,444
173,1.35,68.5,394
174,1.35,68.8,372
175,1.35,64.8,446
176,1.35,65.6,457
177,1.35,64.7,478
178,1.35,67.4,421
179,1.35,63.2,458
180,1.35,64.2,419
181,1.35,64.3,452
182,1.35,61,470
183,1.35,63.4,541
184,1.35,67,494
185,1.35,69.3,446
186,1.35,69.6,462
187,1.35,67.4,489
188,1.35,69.3,494
189,1.35,68.2,489
190,1.35,68.8,486
191,1.35,69.9,485
192,1.35,71.6,447
193,1.35,70.6,467
194,1.35,67.6,566
195,1.35,69.2,548
196,1.35,67.3,555
197,1.35,68.3,534
198,1.35,66.7,544
199,1.35,60.9,573
200,1.35,61.3,573
201,1.35,60.4,582
202,1.35,67,523
203,1.35,64.7,533
204,1.35,61.9,537
205,1.35,61.7,557
206,1.35,59.5,589
207,1.35,47.7,536
208,1.35,44.3,550
209,1.35,42.5,562
210,1.35,32.4,471
211,1.35,35.5,510
212,1.35,45.8,484
213,1.35,46.3,483
214,1.35,54.5,490
