Time ,Dis,speed,flow
102,0,68.1,683
103,0,69.3,700
104,0,69.8,678
105,0,69.6,610
106,0,69.2,662
107,0,72,621
108,0,69.8,643
109,0,71.5,601
110,0,71.8,632
111,0,73,569
112,0,73.2,554
113,0,72.1,551
114,0,73.2,529
115,0,73.4,536
116,0,71.6,552
117,0,72.6,590
118,0,73.7,548
119,0,75.4,505
120,0,74.3,463
121,0,75.1,407
122,0,74.7,473
123,0,75.4,463
124,0,74.3,462
125,0,74.2,445
126,0,76.1,466
127,0,75.6,427
128,0,73.7,480
129,0,75.2,448
130,0,75,431
131,0,69.4,458
132,0,66.2,434
133,0,70.9,454
134,0,73.4,434
135,0,72,433
136,0,73.3,386
137,0,73.7,371
138,0,73.4,399
139,0,71.4,456
140,0,70.6,486
141,0,67.1,527
142,0,65.9,542
143,0,68.2,536
144,0,68.7,475
145,0,67,451
146,0,70.7,469
147,0,71.6,450
148,0,70.7,467
149,0,68.8,448
150,0,66.6,466
151,0,64.6,473
152,0,66.5,477
153,0,66.1,421
154,0,68.6,459
155,0,71.5,437
156,0,70.8,412
157,0,68.8,485
158,0,68.9,494
159,0,69.5,453
160,0,67.9,481
161,0,68.4,503
162,0,70.9,449
163,0,70.7,449
164,0,69,475
165,0,67.7,450
166,0,69.4,460
167,0,67.8,487
168,0,69.3,426
169,0,68.1,497
170,0,67.5,524
171,0,68.6,464
172,0,68.1,500
173,0,69.3,448
174,0,68,454
175,0,66.8,504
176,0,67.6,513
177,0,69.1,495
178,0,69.5,480
179,0,66.6,480
180,0,65.8,498
181,0,66.7,501
182,0,67.9,543
183,0,66.8,559
184,0,69.6,548
185,0,71.9,508
186,0,71.6,517
187,0,69.5,577
188,0,71.7,543
189,0,70.9,555
190,0,70.9,554
191,0,72.2,552
192,0,73,524
193,0,70.3,555
194,0,70.6,622
195,0,69.7,630
196,0,70.7,633
197,0,69.8,582
198,0,69.2,584
199,0,68.8,522
200,0,68.7,644
201,0,69.9,605
202,0,73.4,563
203,0,71.6,632
